IE_XML_ID;IE_NAME;IE_ACTIVE;IE_DETAIL_TEXT_TYPE;IE-CODE;IE_SORT;IE_TAGS;IP_PROP212;IP_PROP745;IP_PROP794;IP_PROP746;IP_PROP747;IP_PROP748;IP_PROP791;IP_PROP749;IP_PROP750;IP_PROP751;IP_PROP793;IP_PROP780;IP_PROP752;IP_PROP753;IP_PROP754;IP_PROP755;IP_PROP792;IP_PROP756;IP_PROP758;IP_PROP759;IP_PROP789;IP_PROP760;IP_PROP761;IP_PROP762;IP_PROP763;IP_PROP783;IP_PROP784;IP_PROP785;IP_PROP764;IP_PROP765;IP_PROP766;IP_PROP790;IP_PROP767;IP_PROP768;IP_PROP769;IP_PROP770;IP_PROP771;IP_PROP772;IP_PROP773;IP_PROP776;IP_PROP777;IP_PROP787;IP_PROP788;IP_PROP778;IP_PROP779;IC_GROUP0;IC_GROUP1
13861;Ричтрак Yale MR16H;Y;text;richtrak-Yale-MR16H;500;;474;2634 / 2674;;1736;;;;2472 / 2544;1270;;;;1272 / 1344;0;560 / 700;;;1485;;940;;14;6,4;48;1600;;;;;окт.15;6,4;;;13 / 13;;0,53 / 0,51;;0,36 / 0,52;;;;;;;3680;Складская техника;Ричтраки
13862;Ричтрак Yale MR16HD;Y;text;richtrak-Yale-MR16HD;500;;474;2743 / ;;1797;;;;2643 / ;1270;;;;1443 / ;0;700;;;1570;;1119;;14;6,4;48;1600;;;;;окт.15;6,4;;;13 / 13;;0,6 / 0,52;;0,3 / 0,65;;;;;;;5095;Складская техника;Ричтраки
13863;Ричтрак Yale MR16N;Y;text;richtrak-Yale-MR16N;500;;474;2607 / 2661;;1683;;;;2470 / 2560;1130;;;;1270 / 1360;0;420 / 560;;;1435;;730;;14;6,4;48;1600;;;;;дек.18;6,4;;;13 / 13;;0,53 / 0,51;;0,36 / 0,52;;;;;;;2940;Складская техника;Ричтраки
13864;Ричтрак Yale MR20;Y;text;richtrak-Yale-MR20;500;;474;2667 / 2701 / 2742;;1797;;;;2477 / 2549 / 2621;1270;;;;1277 / 1349 / 1421;0;560 / 700 / 840;;;1550;;940;;14;6,4;48;2000;;;;;окт.15;6,4;;;13 / 13;;0,5 / 0,51;;0,28 / 0,35;;;;;;;3470;Складская техника;Ричтраки
13865;Ричтрак Yale MR20H;Y;text;richtrak-Yale-MR20H;500;;474;2701 / 2742;;1797;;;;2549 / 2621;1270;;;;1349 / 1421;0;700 / 840;;;1550;;1120;;14;6,4;48;2000;;;;;окт.15;6,4;;;13 / 13;;0,54 / 0,51;;0,3 / 0,52;;;;;;;3880;Складская техника;Ричтраки
13866;Ричтрак Yale MR20HD;Y;text;richtrak-Yale-MR20HD;500;;474;2746 / 2791;;1797;;;;2648 / 2720;1270;;;;1448 / 1520;0;700 / 840;;;1570;;1119;;14;6,4;48;2000;;;;;окт.15;6,4;;;13 / 13;;0,6 / 0,52;;0,3 / 0,65;;;;;;;5235;Складская техника;Ричтраки
13867;Ричтрак Yale MR20W;Y;text;richtrak-Yale-MR20W;500;;474;2721 / 2759;;1832;;;;2549 / 2621;1470;;;;1349 / 1421;0;700 / 840;;;1580;;1120;;14;6,4;48;2000;;;;;окт.15;6,4;;;13 / 13;;0,54 / 0,51;;0,3 / 0,52;;;;;;;3740;Складская техника;Ричтраки
13868;Ричтрак Yale MR25;Y;text;richtrak-Yale-MR25;500;;474;2753 / 2786;;1893;;;;2554 / 2626;1270;;;;1354 / 1426;0;700 / 840;;;1650;;1120;;14;6,4;48;2500;;;;;окт.15;6,4;;;13 / 13;;0,5 / 0,51;;0,24 / 0,35;;;;;;;3920;Складская техника;Ричтраки
13714;Узкопроходный штабелер Yale MTC10;Y;text;uzkoprokhodnyy-shtabeler-yale-mtc10;500;;474;1600;;2100;;;;различается;различается;;;;различается;700;560;;;1783;;950;;2 x 12;7,5;48;1000;;;;;6;07.май;;индукц./рельс.;9.9 / 10.0;300 / 300;0.50 / 0.45;500 / 500;0.41 / 0.45;410 / 410;;;;;;6276;Складская техника;Узкопроходные штабелеры
13870;Узкопроходный штабелер Yale MTC13;Y;text;uzkoprohodniy-shtabeler-Yale-MTC13;500;;474;1600;;2250;;;;различается;различается;;;;различается;840;700;;;1943;;1360;;2 x 12;7,5;48;1300;;;;;6;07.май;;индукц./рельс.;10.4 / 10.5;301 / 300;0.50 / 0.45;500 / 450;0.41 / 0.45;410 / 450;;;;;;6701;Складская техника;Узкопроходные штабелеры
